,time,kappa,x,y
0,1.0,0.756,-0.0,44.668503
1,3.0,0.755,1.2245509e-05,44.708706
2,5.0,0.748,9.79648e-05,44.993145
3,7.0,0.742,0.00017143933,45.24127
4,9.0,0.736,0.0002449131,45.493496
5,11.0,0.725,0.00037961517,45.967022
6,13.0,0.717,0.0004775807,46.320835
7,15.0,0.712,0.000538809,46.54618
8,17.0,0.706,0.0006122835,46.82102
9,19.0,0.703,0.0006490201,46.960293
10,21.0,0.702,0.0006612655,47.006996
11,23.0,0.697,0.0007224938,47.24266
12,25.0,0.69,0.0008082139,47.578735
13,27.0,0.69,0.0008082139,47.578735
14,29.0,0.683,0.0008939331,47.922237
15,31.0,0.676,0.0009796532,48.27349
16,33.0,0.672,0.0010286359,48.477818
17,35.0,0.667,0.0010898642,48.737034
18,37.0,0.663,0.001138847,48.947536
19,39.0,0.66,0.0011755836,49.10729
20,41.0,0.655,0.0012368126,49.37721
21,43.0,0.652,0.001273549,49.54141
22,45.0,0.649,0.0013102862,49.707336
23,47.0,0.645,0.001359269,49.931328
24,49.0,0.64,0.0014204974,50.215855
25,51.0,0.636,0.0014694802,50.44722
26,53.0,0.633,0.0015062166,50.622974
27,55.0,0.63,0.0015429539,50.80071
28,57.0,0.626,0.0015919367,51.04082
29,59.0,0.623,0.0016286732,51.223305
30,61.0,0.62,0.0016654105,51.40791
31,63.0,0.618,0.0016899022,51.532177
32,65.0,0.608,0.0018123587,52.168423
33,67.0,0.611,0.0017756214,51.974876
34,69.0,0.609,0.0018001125,52.103645
35,71.0,0.608,0.0018123587,52.168423
36,73.0,0.605,0.0018490953,52.36433
37,75.0,0.6,0.0019103236,52.69625
38,77.0,0.6,0.0019103236,52.69625
39,79.0,0.595,0.001971552,53.035168
40,81.0,0.594,0.001983798,53.10382
41,83.0,0.59,0.0020327808,53.381367
42,85.0,0.588,0.0020572718,53.52195
43,87.0,0.585,0.0020940092,53.735157
44,89.0,0.582,0.0021307457,53.95119
45,91.0,0.58,0.0021552374,54.096844
