,x,y,x_std,y_std
0,1.0,44.66850280761719,0.0,0.0
1,3.0,45.708580017089844,0.0,0.0
2,5.0,46.33633804321289,0.0,0.0
3,7.0,46.66011047363281,0.0,0.0
4,9.0,47.024288177490234,0.0,0.0
5,11.0,47.46603775024414,0.0,0.0
6,13.0,48.135154724121094,0.0,0.0
7,15.0,48.49920654296875,0.0,0.0
8,17.0,49.13822555541992,0.0,0.0
9,19.0,49.96522903442383,0.0,0.0
10,21.0,50.49977111816406,0.0,0.0
11,23.0,50.710262298583984,0.0,0.0
12,25.0,51.27094650268555,0.0,0.0
13,27.0,51.89766311645508,0.0,0.0
14,29.0,52.50244140625,0.0,0.0
15,31.0,53.18025207519531,0.0,0.0
16,33.0,53.27945327758789,0.0,0.0
17,35.0,53.83622741699219,0.0,0.0
18,37.0,54.4128303527832,0.0,0.0
19,39.0,54.900325775146484,0.0,0.0
20,41.0,55.28984832763672,0.0,0.0
21,43.0,56.03886795043945,0.0,0.0
22,45.0,56.639305114746094,0.0,0.0
23,47.0,57.07307434082031,0.0,0.0
24,49.0,57.518585205078125,0.0,0.0
25,51.0,58.79220962524414,0.0,0.0
26,53.0,59.00257110595703,0.0,0.0
27,55.0,59.431488037109375,0.0,0.0
28,57.0,60.40055847167969,0.0,0.0
29,59.0,60.94668197631836,0.0,0.0
30,61.0,61.26695251464844,0.0,0.0
31,63.0,61.429412841796875,0.0,0.0
32,65.0,62.35225296020508,0.0,0.0
33,67.0,62.877845764160156,0.0,0.0
34,69.0,63.698341369628906,0.0,0.0
35,71.0,63.51252746582031,0.0,0.0
36,73.0,64.26837921142578,0.0,0.0
37,75.0,64.65937805175781,0.0,0.0
38,77.0,65.05961608886719,0.0,0.0
39,79.0,65.78361511230469,0.0,0.0
40,81.0,67.10137176513672,0.0,0.0
41,83.0,67.10137176513672,0.0,0.0
42,85.0,67.80056762695312,0.0,0.0
43,87.0,68.52962493896484,0.0,0.0
44,89.0,68.77972412109375,0.0,0.0
45,91.0,69.03352355957031,0.0,0.0
46,93.0,70.6407241821289,0.0,0.0
47,95.0,70.22459411621094,0.0,0.0
48,97.0,71.21172332763672,0.0,0.0
49,99.0,71.80231475830078,0.0,0.0
