t,D
-8.7,0
0,"0,119"
2,"0,143"
4,"0,168"
6,"0,194"
8,"0,221"
10,"0,247"
12,"0,274"
14,"0,299"
16,"0,322"
18,"0,34"
20,"0,354"
22,"0,371"
24,"0,388"
26,"0,405"
28,"0,421"
30,"0,425"
32,"0,448"
34,"0,466"
36,"0,481"
38,"0,496"
40,"0,51"
42,"0,523"
44,"0,536"
46,"0,548"
48,"0,559"
50,"0,57"
52,"0,58"
54,"0,59"
56,"0,599"
58,"0,608"
60,"0,616"
62,"0,624"
64,"0,631"
66,"0,638"
68,"0,644"
70,"0,65"
72,"0,655"
74,"0,661"
76,"0,665"
78,"0,67"
80,"0,674"
82,"0,678"
84,"0,682"
86,"0,685"
88,"0,689"
90,"0,692"
92,"0,695"
94,"0,698"
96,"0,701"
98,"0,704"
100,"0,706"
102,"0,708"
104,"0,71"
106,"0,713"
108,"0,715"
110,"0,716"
112,"0,718"
114,"0,72"
116,"0,721"
118,"0,723"
120,"0,724"
122,"0,725"
124,"0,727"
126,"0,728"
128,"0,729"
130,"0,73"
132,"0,731"
134,"0,732"
136,"0,733"
138,"0,734"
140,"0,735"
142,"0,736"
144,"0,737"
146,"0,738"
148,"0,739"
150,"0,74"
152,"0,741"
154,"0,742"
156,"0,743"
158,"0,743"
160,"0,744"
162,"0,745"
164,"0,745"
166,"0,746"
168,"0,747"
170,"0,747"
172,"0,747"
174,"0,748"
176,"0,748"
178,"0,749"
180,"0,749"
182,"0,749"
184,"0,75"
186,"0,75"
188,"0,75"
190,"0,751"
192,"0,751"
194,"0,751"
196,"0,751"
198,"0,752"
