t,D,T
-2.62,0,0
0,0.1,79.4
2,0.119,76.1
4,0.137,73
6,0.156,69.8
8,0.177,66.5
10,0.197,63.6
12,0.215,60.9
14,0.232,58.6
16,0.247,56.6
18,0.262,54.7
20,0.275,53
22,0.288,51.5
24,0.3,50.1
26,0.312,48.8
28,0.323,47.5
30,0.333,46.4
32,0.344,45.3
34,0.353,44.3
36,0.363,43.4
38,0.372,42.5
40,0.38,41.7
42,0.388,40.9
44,0.395,40.3
46,0.401,39.7
48,0.407,39.2
50,0.412,38.7
52,0.418,38.2
54,0.422,37.8
56,0.427,37.4
58,0.432,37
60,0.436,36.6
62,0.44,36.3
64,0.444,36
66,0.447,35.7
68,0.45,35.5
70,0.452,35.3
72,0.454,35.2
74,0.456,35
76,0.458,34.8
78,0.46,34.7
80,0.462,34.5
82,0.464,34.4
84,0.465,34.2
86,0.467,34.1
88,0.469,34
90,0.47,33.9
92,0.471,33.8
94,0.472,33.7
96,0.473,33.7
98,0.474,33.6
100,0.474,33.5
102,0.475,33.5
104,0.476,33.4
106,0.477,33.3
108,0.478,33.3
110,0.479,33.2
112,0.48,33.1
114,0.481,33
116,0.482,32.9
118,0.483,32.9
120,0.484,32.8
122,0.485,32.7
124,0.487,32.6
126,0.488,32.5
128,0.489,32.5
130,0.49,32.4
132,0.491,32.3
134,0.492,32.2
136,0.492,32.2
138,0.493,32.1
140,0.494,32.1
142,0.494,32
144,0.495,32
146,0.495,32
148,0.496,31.9
150,0.496,31.9
152,0.496,31.9
154,0.496,31.9
156,0.496,31.9
158,0.496,31.9
160,0.496,31.9
162,0.497,31.9
164,0.497,31.8
166,0.497,31.8
168,0.497,31.8
170,0.498,31.8
172,0.498,31.8
174,0.498,31.8
176,0.498,31.8
178,0.498,31.8
180,0.498,31.8
182,0.498,31.8
184,0.497,31.8
186,0.497,31.9
188,0.496,31.9
190,0.496,31.9
192,0.496,31.9
194,0.495,32
196,0.495,32
198,0.494,32.1
